Name,Category,Type,LGA,Tentative_Population,Priority_Tier,Latitude,Longitude,Navigation_Link
Onyebu,Settlement,village,Bassa,Medium (2k-10k),2,8.0211372,7.3171476,"https://www.google.com/maps/search/?api=1&query=8.0211372,7.3171476"
Suli,Settlement,hamlet,Bassa,Low (<1k),3,7.904192,7.157424,"https://www.google.com/maps/search/?api=1&query=7.904192,7.157424"
Zarkama,Settlement,village,Bassa,Medium (2k-10k),2,7.916667,7.233333,"https://www.google.com/maps/search/?api=1&query=7.916667,7.233333"
Egbu,Settlement,village,Bassa,Medium (2k-10k),2,7.601158574709014,6.713816956490271,"https://www.google.com/maps/search/?api=1&query=7.601158574709014,6.713816956490271"
Chita,Settlement,village,Bassa,Medium (2k-10k),2,7.67887572318311,6.780961179441077,"https://www.google.com/maps/search/?api=1&query=7.67887572318311,6.780961179441077"
Unmapped Cluster (Bassa - 7.7789),Settlement,hamlet,Bassa,Low (<1k),2,7.778960704485898,6.895178092575552,"https://www.google.com/maps/search/?api=1&query=7.778960704485898,6.895178092575552"
Dekina,Settlement,village,Dekina,Medium (2k-10k),2,7.6887069,7.0333153,"https://www.google.com/maps/search/?api=1&query=7.6887069,7.0333153"
Ochanja,Settlement,village,Dekina,Medium (2k-10k),2,7.4472,7.2416,"https://www.google.com/maps/search/?api=1&query=7.4472,7.2416"
Egume,Settlement,town,Dekina,High (20k-50k),1,7.4731703,7.2489759,"https://www.google.com/maps/search/?api=1&query=7.4731703,7.2489759"
Oje,Settlement,village,Dekina,Medium (2k-10k),2,7.6617155,7.4026283,"https://www.google.com/maps/search/?api=1&query=7.6617155,7.4026283"
Olaji,Settlement,village,Dekina,Medium (2k-10k),2,7.366667,7.2,"https://www.google.com/maps/search/?api=1&query=7.366667,7.2"
Tuaniako,Settlement,village,Dekina,Medium (2k-10k),2,7.466667,7.166667,"https://www.google.com/maps/search/?api=1&query=7.466667,7.166667"
Ochadam,Settlement,village,Dekina,Medium (2k-10k),2,7.4152,7.0103,"https://www.google.com/maps/search/?api=1&query=7.4152,7.0103"
